"year","ndwi_min","ndwi_q97.5_min","ndwi_q2.5_min","spline_min","q2.5_min","q97.5_min","resids_min","resid2.5_min","resid97.5_min","ndwi_mean","ndwi_q97.5_mean","ndwi_q2.5_mean","spline_mean","q2.5_mean","q97.5_mean","resids_mean","resid2.5_mean","resid97.5_mean","ndwi_median","ndwi_q97.5_median","ndwi_q2.5_median","spline_median","q2.5_median","q97.5_median","resids_median","resid2.5_median","resid97.5_median","ndwi_max","ndwi_q97.5_max","ndwi_q2.5_max","spline_max","q2.5_max","q97.5_max","resids_max","resid2.5_max","resid97.5_max","r_obs_mean","r_obs_median","r_obs_q2.5","r_obs_q97.5","rx_obs_mean","rx_obs_median","rx_obs_q2.5","rx_obs_q97.5","r_median","r_q2.5","r_q97.5","r_mean","rx_median","rx_q2.5","rx_q97.5","rx_mean","nobsgs","defo_med","defo_q2.5","defo_q97.5","fbmi_med","fbmi_q2.5","fbmi_q97.5","plot","site"
1984,0.426917989417989,0.444961573842878,0.403690171019219,0.423392445563031,0.394378912527698,0.444008099296282,0.00352554385495818,-0.0197022745438121,0.0215691282798472,0.426917989417989,0.444961573842878,0.403690171019219,0.423392445563031,0.394378912527698,0.444008099296282,0.00352554385495818,-0.0197022745438121,0.0215691282798472,0.426917989417989,0.444961573842878,0.403690171019219,0.423392445563031,0.394378912527698,0.444008099296282,0.00352554385495818,-0.0197022745438121,0.0215691282798472,0.426917989417989,0.444961573842878,0.403690171019219,0.423392445563031,0.394378912527698,0.444008099296282,0.00352554385495818,-0.0197022745438121,0.0215691282798472,0.426917989417989,0.426917989417989,0.403690171019219,0.444961573842878,0.426917989417989,0.426917989417989,0.403690171019219,0.444961573842878,0.00352554385495818,0.00352554385495818,0.00352554385495818,0.00352554385495818,0.00352554385495818,0.00352554385495818,0.00352554385495818,0.00352554385495818,1,-0.0266820323552599,-0.0266820323552599,-0.0266820323552599,1.02668203235526,1.02668203235526,1.02668203235526,"UKFS_001","UKFS_NEON"
1985,0.428331936295055,0.446375520719944,0.405104117896284,0.460139696408295,0.441910663290322,0.471347741059814,-0.0318077601132409,-0.0550355785120112,-0.0137641756883519,0.428331936295055,0.446375520719944,0.405104117896284,0.460139696408295,0.441910663290322,0.471347741059814,-0.0318077601132409,-0.0550355785120112,-0.0137641756883519,0.428331936295055,0.446375520719944,0.405104117896284,0.460139696408295,0.441910663290322,0.471347741059814,-0.0318077601132409,-0.0550355785120112,-0.0137641756883519,0.428331936295055,0.446375520719944,0.405104117896284,0.460139696408295,0.441910663290322,0.471347741059814,-0.0318077601132409,-0.0550355785120112,-0.0137641756883519,0.428331936295055,0.428331936295055,0.405104117896284,0.446375520719944,0.428331936295055,0.428331936295055,0.405104117896284,0.446375520719944,-0.0318077601132409,-0.0318077601132409,-0.0318077601132409,-0.0318077601132409,-0.0318077601132409,-0.0318077601132409,-0.0318077601132409,-0.0318077601132409,1,0.23623683595737,0.23623683595737,0.23623683595737,0.76376316404263,0.76376316404263,0.76376316404263,"UKFS_001","UKFS_NEON"
1986,0.366387167335035,0.384430751759924,0.343159348936264,0.393152974272856,0.358485875952795,0.419532054566477,-0.0327266525051341,-0.0559544709039044,-0.014683068080245,0.402171153665717,0.420214738090606,0.378943335266947,0.426533799606821,0.398837555380668,0.446055885929355,-0.0243626459411033,-0.0475904643398736,-0.00631906151621421,0.408801818665573,0.426845403090462,0.385574000266802,0.427780880826302,0.399364281336275,0.447615439307099,-0.0258501143477622,-0.0490779327465325,-0.00780652992287309,0.42469380999669,0.442737394421579,0.40146599159792,0.457420462501824,0.438135782897325,0.469460610536744,-0.0130237025637547,-0.036251520962525,0.00501988186113433,0.402171153665717,0.408801818665573,0.343159348936264,0.442737394421579,0.402171153665717,0.408801818665573,0.343159348936264,0.442737394421579,-0.0258501143477622,-0.0327266525051341,-0.0130237025637547,-0.0243626459411033,-0.0258501143477622,-0.0327266525051341,-0.0130237025637547,-0.0243626459411033,4,0.19322526267661,0.242793770601241,0.0982712397987533,0.80677473732339,0.757206229398759,0.901728760201247,"UKFS_001","UKFS_NEON"
1987,0.428766189502386,0.446809773927275,0.405538371103616,0.415618005595421,0.383828669860614,0.438435101459653,0.013148183906965,-0.0100796344918053,0.0311917683318541,0.428766189502386,0.446809773927275,0.405538371103616,0.415618005595421,0.383828669860614,0.438435101459653,0.013148183906965,-0.0100796344918053,0.0311917683318541,0.428766189502386,0.446809773927275,0.405538371103616,0.415618005595421,0.383828669860614,0.438435101459653,0.013148183906965,-0.0100796344918053,0.0311917683318541,0.428766189502386,0.446809773927275,0.405538371103616,0.415618005595421,0.383828669860614,0.438435101459653,0.013148183906965,-0.0100796344918053,0.0311917683318541,0.428766189502386,0.428766189502386,0.405538371103616,0.446809773927275,0.428766189502386,0.428766189502386,0.405538371103616,0.446809773927275,0.013148183906965,0.013148183906965,0.013148183906965,0.013148183906965,0.013148183906965,0.013148183906965,0.013148183906965,0.013148183906965,1,-0.0992043766355251,-0.0992043766355251,-0.0992043766355251,1.09920437663553,1.09920437663553,1.09920437663553,"UKFS_001","UKFS_NEON"
1988,0.405750798722045,0.423794383146934,0.382522980323274,0.413129673158588,0.380043202201565,0.436865016157962,-0.0449466163712089,-0.0681744347699793,-0.0269030319463199,0.408216431479391,0.42626001590428,0.384988613080621,0.431913544125921,0.404392233084653,0.450834031682936,-0.0236971126465296,-0.0469249310452999,-0.00565352822164056,0.408216431479391,0.42626001590428,0.384988613080621,0.431913544125921,0.404392233084653,0.450834031682936,-0.0236971126465296,-0.0469249310452999,-0.00565352822164056,0.410682064236738,0.428725648661627,0.387454245837967,0.450697415093254,0.428741263967742,0.464803047207911,-0.00244760892185031,-0.0256754273206206,0.0155959755030388,0.408216431479391,0.408216431479391,0.382522980323274,0.428725648661627,0.408216431479391,0.408216431479391,0.382522980323274,0.428725648661627,-0.0236971126465296,-0.0449466163712089,-0.00244760892185031,-0.0236971126465296,-0.0236971126465296,-0.0449466163712089,-0.00244760892185031,-0.0236971126465296,2,0.177487381571032,0.327696893897584,0.0185262795531869,0.822512618428968,0.672303106102416,0.981473720446813,"UKFS_001","UKFS_NEON"
1989,0.371362497591058,0.389406082015947,0.348134679192288,0.411554609006282,0.37762467213791,0.435883935776451,-0.0445168289123405,-0.0677446473111108,-0.0264732444874514,0.387498807094569,0.405542391519458,0.364270988695798,0.429853277258351,0.401431760731244,0.449448691366163,-0.0423544701637824,-0.0655822885625527,-0.0243108857388933,0.387498807094569,0.405542391519458,0.364270988695798,0.429853277258351,0.401431760731244,0.449448691366163,-0.0423544701637824,-0.0655822885625527,-0.0243108857388933,0.40363511659808,0.421678701022969,0.380407298199309,0.44815194551042,0.425238849324578,0.463013446955876,-0.0401921114152243,-0.0634199298139946,-0.0221485269903352,0.387498807094569,0.387498807094569,0.348134679192288,0.421678701022969,0.387498807094569,0.387498807094569,0.348134679192288,0.421678701022969,-0.0423544701637824,-0.0445168289123405,-0.0401921114152243,-0.0423544701637824,-0.0423544701637824,-0.0445168289123405,-0.0401921114152243,-0.0423544701637824,2,0.310070439078638,0.324789690516052,0.295201021981844,0.689929560921362,0.675210309483948,0.704798978018156,"UKFS_001","UKFS_NEON"
1990,0.388759202729395,0.406802787154284,0.365531384330625,0.409272647863667,0.374229123919313,0.43440851764336,-0.0346332428336364,-0.0578610612324067,-0.0165896584087473,0.413136664692199,0.431180249117088,0.389908846293429,0.425603090748686,0.396150789856049,0.446185792651863,-0.0124664260564867,-0.035694244455257,0.00557715836840234,0.411107459743674,0.429151044168563,0.387879641344904,0.423392445563031,0.394378912527698,0.444008099296282,-0.00460084721583048,-0.0278286656146008,0.0134427372090586,0.439543331603529,0.457586916028418,0.416315513204759,0.444144178819359,0.419844333121137,0.460140761015947,0.00183481188000667,-0.0213930065187636,0.0198783963048957,0.413136664692199,0.411107459743674,0.365531384330625,0.457586916028418,0.413136664692199,0.411107459743674,0.365531384330625,0.457586916028418,-0.00460084721583048,-0.0346332428336364,0.00183481188000667,-0.0124664260564867,-0.00460084721583048,-0.0346332428336364,0.00183481188000667,-0.0124664260564867,3,0.0348143377515219,0.25632749290132,-0.013888632816407,0.965185662248478,0.74367250709868,1.01388863281641,"UKFS_001","UKFS_NEON"
1991,0.358853553199843,0.376897137624732,0.335625734801073,0.394721771230402,0.359963237704768,0.421028532009138,-0.0358682180305589,-0.0590960364293292,-0.0178246336056698,0.405031264692673,0.423074849117562,0.381803446293903,0.428567124009814,0.401382717349023,0.447624153437938,-0.0235358593171401,-0.0467636777159104,-0.00549227489225103,0.41274170653317,0.430785290958059,0.3895138881344,0.430130359229364,0.402417562156642,0.449357428578925,-0.0221519052344584,-0.0453797236332287,-0.00410832080956935,0.43578809250451,0.453831676929399,0.41256027410574,0.459286006350124,0.440732507378039,0.470753224584764,-0.0139714087690846,-0.037199227167855,0.00407217565580442,0.405031264692673,0.41274170653317,0.335625734801073,0.453831676929399,0.405031264692673,0.41274170653317,0.335625734801073,0.453831676929399,-0.0221519052344584,-0.0358682180305589,-0.0139714087690846,-0.0235358593171401,-0.0221519052344584,-0.0358682180305589,-0.0139714087690846,-0.0235358593171401,4,0.166135594791243,0.265040871983707,0.105370966254844,0.833864405208757,0.734959128016293,0.894629033745156,"UKFS_001","UKFS_NEON"
1992,0.386662540615813,0.404706125040702,0.363434722217043,0.39237518599006,0.35767851766087,0.418832245161992,-0.0401232328154856,-0.0633510512142559,-0.0220796483905966,0.402614486948139,0.420658071373028,0.379386668549368,0.422367810203485,0.39306658706992,0.443137653069497,-0.0197533232553462,-0.0429811416541165,-0.00170973883045712,0.399328221788119,0.417371806213009,0.376100403389349,0.420342119035419,0.388931715684338,0.442477303568329,-0.0247073492344571,-0.0479351676332274,-0.00666376480956804,0.425138963600502,0.443182548025391,0.401911145201732,0.456411816753041,0.436724399250134,0.46876375997934,0.0105246382630151,-0.0127031801357552,0.0285682226879042,0.402614486948139,0.399328221788119,0.363434722217043,0.443182548025391,0.402614486948139,0.399328221788119,0.363434722217043,0.443182548025391,-0.0247073492344571,-0.0401232328154856,0.0105246382630151,-0.0197533232553462,-0.0247073492344571,-0.0401232328154856,0.0105246382630151,-0.0197533232553462,4,0.184883779469208,0.294724975405609,-0.0795033656025022,0.815116220530792,0.705275024594391,1.0795033656025,"UKFS_001","UKFS_NEON"
1993,0.384263333920084,0.402306918344974,0.361035515521314,0.40329871866579,0.367007286782113,0.429685521417905,-0.0190353847457051,-0.0422632031444754,-0.000991800320816028,0.384263333920084,0.402306918344974,0.361035515521314,0.40329871866579,0.367007286782113,0.429685521417905,-0.0190353847457051,-0.0422632031444754,-0.000991800320816028,0.384263333920084,0.402306918344974,0.361035515521314,0.40329871866579,0.367007286782113,0.429685521417905,-0.0190353847457051,-0.0422632031444754,-0.000991800320816028,0.384263333920084,0.402306918344974,0.361035515521314,0.40329871866579,0.367007286782113,0.429685521417905,-0.0190353847457051,-0.0422632031444754,-0.000991800320816028,0.384263333920084,0.384263333920084,0.361035515521314,0.402306918344974,0.384263333920084,0.384263333920084,0.361035515521314,0.402306918344974,-0.0190353847457051,-0.0190353847457051,-0.0190353847457051,-0.0190353847457051,-0.0190353847457051,-0.0190353847457051,-0.0190353847457051,-0.0190353847457051,1,0.143108718567486,0.143108718567486,0.143108718567486,0.856891281432514,0.856891281432514,0.856891281432514,"UKFS_001","UKFS_NEON"
